frequency_rank,headword,definition,part_of_speech,semantic_group
314,iūs iūris n.,"right, justice, law",Noun: 3rd Declension,Justice
315,mūtō -āre,change,Verb: 1st Conjugation,Making/Doing
316,inveniō -venīre -vēnī -ventum,find; discover,Verb: 4th Conjugation,Travel
317,prīnceps -cipis,"first, chief; (as subst.) leader, person in charge",Adjective: 3rd Declension,The City
318,ops opis f.,"assistance, resources",Noun: 3rd Declension,Business/Money
319,recipiō -cipere -cēpī -ceptum,"take back, receive; sē recipere, betake oneself, go",Verb: 3rd Conjugation -iō,Verbs of Transport
320,sōl sōlis m.,sun,Noun: 3rd Declension,Air and Fire
321,cōnsul -ulis m.,consul,Noun: 3rd Declension,The City
322,orbis -is m.,circle; orbis terrārum: world,Noun: 3rd Declension,Geography
323,turba -ae f.,"crowd, uproar",Noun: 1st Declension,The City
324,ager agrī m.,field,Noun: 2nd Declension,Animals/Plants
325,solvō solvere solvī solūtum,"release, set sail",Verb: 3rd Conjugation -ō,Travel
326,vitium -ī n.,"flaw, fault, crime",Noun: 2nd Declension,Justice
327,vulnus -eris n.,wound,Noun: 3rd Declension,Violence
328,inde,"from there, from then",Adverb,Place
329,senātus -ūs m.,senate,Noun: 4th Declension,The City
330,ūtor ūtī ūsus sum,"use, consume, employ (+ abl.)",Verb: Deponent,Making/Doing
331,cōpia -ae f.,abundance; (pl.) troops,Noun: 1st Declension,War and Peace
332,opus operis n.,work,Noun: 3rd Declension,Business/Money
333,colō colere coluī cultum,"inhabit, cultivate",Verb: 3rd Conjugation -ō,Animals/Plants
334,vōtum -ī n.,"solemn promise, vow; hope",Noun: 2nd Declension,Religion
335,iugum -ī n.,"yoke; ridge, chain of hills",Noun: 2nd Declension,Animals/Plants
336,quā,"where, how",Pronoun,Pronouns/Interrogatives
337,tellus tellūris f.,earth,Noun: 3rd Declension,Earth and Water
338,numerus -ī m.,"number, amount",Noun: 2nd Declension,Measurement
339,cōgnōscō -gnōscere -gnōvī -gnitum,"learn, understand",Verb: 3rd Conjugation -ō,Education/Knowledge
340,victor -ōris m.,conqueror,Noun: 3rd Declension,War and Peace
341,"satis, sat","enough, sufficient, sufficiently",Adverb,Measurement
342,patria -ae f.,"fatherland, country",Noun: 1st Declension,Geography
343,seu,whether; seu ... seu: whether ... or → sīve,Conjunction,Conjunctions/Adverbs
344,cāsus -ūs m.,"a fall; chance, accident",Noun: 4th Declension,Violence
345,frangō frangere frēgī frāctum,"break, shatter",Verb: 3rd Conjugation -ō,Violence
346,cīvitās -ātis f.,"citizenship, state",Noun: 3rd Declension,The City
347,nōscō nōscere nōvī nōtum,"learn, know",Verb: 3rd Conjugation -ō,Education/Knowledge
348,proelium -ī n.,battle,Noun: 2nd Declension,War and Peace
349,ēripiō -ripere -ripuī -reptum,"snatch away, rescue, save",Verb: 3rd Conjugation -iō,Verbs of Transport
350,mundus -ī m.,"world, universe, heavens",Noun: 2nd Declension,Earth and Water
351,cursus -ūs m.,"course, advance",Noun: 4th Declension,Athletics
352,vix,scarcely,Adverb,Conjunctions/Adverbs
353,nāvis -is f.,ship,Noun: 3rd Declension,Travel
354,lacrima -ae f.,tear,Noun: 1st Declension,Emotions
355,hūmānus -a -um,human,Adjective: 1st and 2nd Declension,People
356,mollis -e,"soft, yielding, gentle",Adjective: 3rd Declension,Other Senses
357,maneō manēre mānsī mānsum,remain,Verb: 2nd Conjugation,Travel
358,āgmen -minis n.,line of march,Noun: 3rd Declension,War and Peace
359,sīdus -eris n.,"star, constellation",Noun: 3rd Declension,Air and Fire
360,glōria -ae f.,"glory, fame",Noun: 1st Declension,Social Life
361,diū:,for a long time,Adverb,Time
362,sīve,whether; sīve ... sīve: whether ... or → seu,Conjunction,Conjunctions/Adverbs
363,tamquam,"so as, just as",Adverb,Conjunctions/Adverbs
364,fuga -ae f.,"flight, route",Noun: 1st Declension,Travel
365,tūtus -a -um,"safe, protected",Adjective: 1st and 2nd Declension,War and Peace
366,auris -is f.,ear,Noun: 3rd Declension,The Body
367,aliēnus -a -um,"foreign, strange",Adjective: 1st and 2nd Declension,Geography
368,hūc,to this place,Adverb,Place
369,taceō -ēre -uī -itum,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,Other Senses
